Periodos,Indice
1988/01/01,4.64
1988/01/02,4.80
1988/02/01,5.04
1988/02/02,5.18
1988/03/01,5.33
1988/03/02,5.41
1988/04/01,5.53
1988/04/02,5.55
1988/05/01,5.62
1988/05/02,5.68
1988/06/01,5.74
1988/06/02,5.78
1988/07/01,5.84
1988/07/02,5.87
1988/08/01,5.91
1988/08/02,5.91
1988/09/01,5.94
1988/09/02,5.95
1988/10/01,5.97
1988/10/02,6.01
1988/11/01,6.06
1988/11/02,6.08
1988/12/01,6.18
1988/12/02,6.22
1989/01/01,6.32
1989/01/02,6.38
1989/02/01,6.43
1989/02/02,6.44
1989/03/01,6.49
1989/03/02,6.52
1989/04/01,6.59
1989/04/02,6.61
1989/05/01,6.67
1989/05/02,6.72
1989/06/01,6.76
1989/06/02,6.79
1989/07/01,6.83
1989/07/02,6.86
1989/08/01,6.90
1989/08/02,6.92
1989/09/01,6.95
1989/09/02,6.99
1989/10/01,7.06
1989/10/02,7.09
1989/11/01,7.15
1989/11/02,7.20
1989/12/01,7.33
1989/12/02,7.51
1990/01/01,7.73
1990/01/02,7.82
1990/02/01,7.91
1990/02/02,7.99
1990/03/01,8.07
1990/03/02,8.12
1990/04/01,8.18
1990/04/02,8.25
1990/05/01,8.32
1990/05/02,8.40
1990/06/01,8.51
1990/06/02,8.58
1990/07/01,8.66
1990/07/02,8.73
1990/08/01,8.82
1990/08/02,8.87
1990/09/01,8.95
1990/09/02,9.00
1990/10/01,9.08
1990/10/02,9.13
1990/11/01,9.23
1990/11/02,9.45
1990/12/01,9.58
1990/12/02,9.70
1991/01/01,9.85
1991/01/02,9.92
1991/02/01,10.02
1991/02/02,10.09
1991/03/01,10.17
1991/03/02,10.23
1991/04/01,10.29
1991/04/02,10.33
1991/05/01,10.38
1991/05/02,10.44
1991/06/01,10.50
1991/06/02,10.53
1991/07/01,10.59
1991/07/02,10.63
1991/08/01,10.67
1991/08/02,10.70
1991/09/01,10.77
1991/09/02,10.81
1991/10/01,10.88
1991/10/02,10.95
1991/11/01,11.11
1991/11/02,11.26
1991/12/01,11.39
1991/12/02,11.51
1992/01/01,11.62
1992/01/02,11.70
1992/02/01,11.77
1992/02/02,11.82
1992/03/01,11.89
1992/03/02,11.94
1992/04/01,12.00
1992/04/02,12.04
1992/05/01,12.08
1992/05/02,12.12
1992/06/01,12.17
1992/06/02,12.20
1992/07/01,12.24
1992/07/02,12.28
1992/08/01,12.32
1992/08/02,12.35
1992/09/01,12.42
1992/09/02,12.46
1992/10/01,12.51
1992/10/02,12.55
1992/11/01,12.61
1992/11/02,12.67
1992/12/01,12.78
1992/12/02,12.85
1993/01/01,12.95
1993/01/02,13.00
1993/02/01,13.06
1993/02/02,13.10
1993/03/01,13.14
1993/03/02,13.18
1993/04/01,13.22
1993/04/02,13.25
1993/05/01,13.29
1993/05/02,13.33
1993/06/01,13.37
1993/06/02,13.40
1993/07/01,13.44
1993/07/02,13.46
1993/08/01,13.51
1993/08/02,13.54
1993/09/01,13.61
1993/09/02,13.64
1993/10/01,13.67
1993/10/02,13.69
1993/11/01,13.72
1993/11/02,13.75
1993/12/01,13.81
1993/12/02,13.88
1994/01/01,13.93
1994/01/02,13.97
1994/02/01,14.01
1994/02/02,14.04
1994/03/01,14.08
1994/03/02,14.11
1994/04/01,14.15
1994/04/02,14.18
1994/05/01,14.22
1994/05/02,14.25
1994/06/01,14.29
1994/06/02,14.32
1994/07/01,14.35
1994/07/02,14.38
1994/08/01,14.42
1994/08/02,14.45
1994/09/01,14.52
1994/09/02,14.55
1994/10/01,14.60
1994/10/02,14.63
1994/11/01,14.67
1994/11/02,14.71
1994/12/01,14.77
1994/12/02,14.87
1995/01/01,15.21
1995/01/02,15.54
1995/02/01,15.88
1995/02/02,16.18
1995/03/01,16.68
1995/03/02,17.27
1995/04/01,18.13
1995/04/02,18.52
1995/05/01,18.93
1995/05/02,19.26
1995/06/01,19.58
1995/06/02,19.82
1995/07/01,20.02
1995/07/02,20.18
1995/08/01,20.36
1995/08/02,20.51
1995/09/01,20.76
1995/09/02,20.95
1995/10/01,21.18
1995/10/02,21.39
1995/11/01,21.69
1995/11/02,21.93
1995/12/01,22.28
1995/12/02,22.76
1996/01/01,23.19
1996/01/02,23.47
1996/02/01,23.75
1996/02/02,24.00
1996/03/01,24.26
1996/03/02,24.54
1996/04/01,24.98
1996/04/02,25.21
1996/05/01,25.45
1996/05/02,25.66
1996/06/01,25.88
1996/06/02,26.06
1996/07/01,26.25
1996/07/02,26.42
1996/08/01,26.61
1996/08/02,26.76
1996/09/01,27.04
1996/09/02,27.19
1996/10/01,27.38
1996/10/02,27.52
